Rank,Player,Score,Games Played
194,Ciff,1840,827
195,Kopfweh,1840,53
196,Alt217,1838,182
197,Leglerg,1837,66
198,Luigicube,1837,148
199,PluppEsoet,1837,154
200,sim-h,1836,739
201,Benzawzaw,1836,2596
202,mtsfranck,1835,1101
203,kingsnowman,1835,1871
204,Inteq,1835,275
205,RealSadLife,1835,142
206,loipde,1834,116
207,manasajt,1834,123
208,ofraiche,1834,316
209,BorealStag,1834,110
210,Inspe,1834,115
211,simon8r,1833,175
212,Martinnoren,1832,392
213,Alpha 9er,1831,1190
214,dawod,1829,729
215,Transformer1,1829,634
216,GodOfMars,1829,267
217,RC_Snake91,1828,892
218,DONXDONXDON,1828,97
219,nato_2_5,1828,1093
220,annyeong,1827,374
221,Trzyszcz,1826,698
222,Frostveins,1826,130
223,Zharu,1826,154
224,Eye_wander,1826,288
225,Schroedinger84,1826,260
226,gggg,1826,1694
227,Gubbs,1825,540
228,HomersCasla,1825,310
229,Moridin_,1825,296
230,jave0229,1824,156
231,Calzone77,1823,678
232,MichelSchols,1823,143
233,IkkoManu,1823,169
234,Chlorbenzen,1821,725
235,King Babbysaurus,1821,680
236,kmint,1821,1486
237,malcin541,1821,74
238,gankedbymath,1821,411
239,oronzotauro2,1820,364
240,Naturbananen,1819,387
241,cash1981,1819,357
242,TimFinnegan,1818,199
243,skyb4ll3r,1817,184
244,ultimateshep,1817,1165
245,Noush82,1816,852
246,Ellan153,1815,280
247,pro.fessor,1815,419
248,Nicky Larson89,1814,778
249,refsrefs,1814,1590
250,Standard Draw,1814,30
251,_tucker_,1814,218
252,sebicools,1814,242
253,tennis8668,1813,150
254,Delay_,1813,139
255,hugoche,1813,1126
256,SirSmoke,1813,402
257,Rakudajin,1812,221
258,Elsasuke,1811,661
259,kramnworb,1811,189
260,Ladyfromafar,1811,271
261,AnttiL,1811,91
262,Invisible Rail,1810,68
263,ZLong,1809,430
264,noob_cfa_,1809,601
265,Roysan84,1809,571
266,actualcthulhu,1808,91
267,Bob1564,1808,135
268,Jollen,1808,572
269,Bludex,1807,593
270,DJENF,1807,226
271,Jovian Collector,1806,353
272,OnixCZ,1805,285
273,Wolaroj,1805,120
274,Kirbypolo,1804,58
275,rybisznurek,1804,944
276,Kriegsgott,1804,99
277,domethegreat,1803,897
278,vaaance,1803,443
279,PennyDionysos,1803,199
280,IvanIvanov91,1802,258
281,Heatherwu,1802,259
282,Khady1982,1802,191
283,Piscesne,1802,374
284,humdogg,1802,246
285,Jacob2020,1801,311
286,MartinLi,1801,1657
287,Aguero16,1800,432
288,PulseChain,1800,41
289,SJCotten,1799,861
290,truchasse,1799,1395
291,petenshi,1798,723
292,Hirnalon,1798,680
293,Denys9802,1797,617
294,Flysh,1797,452
295,DaCruise,1796,215
296,cressiltons,1795,178
297,Insomnis,1795,572
298,hanbi0127,1794,1199
299,Earth Catapult,1794,533
300,pro.f3ssor,1793,70
301,jszhmann,1793,86
302,Wiegraf,1792,707
303,CryoFlash,1792,217
304,Dadelhead,1792,249
305,hne555,1792,734
306,ArkZypher,1791,605
307,MarvinTheBear,1791,171
308,mesune,1791,883
309,MrGuggenheim,1790,547
310,underdog168,1790,263
311,ryuwol,1789,121
312,aquilinx,1788,754
313,Tarvalar,1788,448
314,B4do,1788,578
315,Mars First,1788,356
316,Nasty Guard,1788,247
317,BVBernd,1788,668
318,Andriod,1787,175
319,sandino,1786,96
320,Örbn28,1786,334
321,unpl,1786,100
322,karmakanik,1786,410
323,player3307757,1786,121
324,Bakerst221B,1785,82
325,Mushromancer,1785,102
326,blowpol,1784,185
327,Eber 65,1784,269
328,duciduci8,1784,166
329,And45,1784,267
330,legacyp,1784,232
331,CroCosta,1784,403
332,The Red Planet,1783,478
333,mayhem092,1783,240
334,Ispher,1782,102
335,Lingyin0,1782,318
336,80237,1782,407
337,DKLM,1781,48
338,donjemo1,1781,443
339,Await,1780,101
340,abmholzfaeller,1780,322
341,cdel,1780,207
342,JovianOverlord,1780,33
343,SuleaSpataru,1779,368
344,road-to-rank-6,1779,660
345,kenny89627,1779,201
346,Tomii224,1779,204
347,kirby_13,1778,301
348,ZDOROVYAK,1778,683
349,Mudryi,1778,551
350,MicAncona,1778,199
351,Masc81,1777,504
352,La Main de l'Empereur,1777,349
353,Turtledude3333,1777,469
354,gnarly old troll,1777,426
355,Joe la rage,1776,147
356,justbegladnow,1776,676
357,warataba,1776,100
358,lostagain,1776,30
359,santaku,1776,168
360,Raatino,1775,416
361,treehead,1774,458
362,bobo83590,1774,443
363,newman1066,1774,2326
364,Doubleback,1774,200
365,darkfin,1773,210
366,Lucky Pony,1773,555
367,sebcactus,1773,849
368,Musek,1773,559
369,Augu5tiner,1772,330
370,Scrawler,1772,206
371,Tweeterl,1772,548
372,czeavenger,1772,326
373,Sunsnowzero,1772,1028
374,kdanto,1772,128
375,JehoshaphatJimmy,1772,565
376,bakugood,1772,93
377,Harevald,1771,102
378,marz_barz,1771,53
379,BeLikeThat,1771,55
380,Galadrian,1771,707
381,Palebluedot89,1770,616
382,HighTac,1770,172
383,Chrisingwe,1769,405
384,CuteZeca,1769,150
385,Xronos98,1769,231
386,TheMartian_,1769,956
387,ghost8472,1769,77
388,eharv,1769,206
389,Lovinho,1769,277
390,Rafili,1769,243
391,Abraksar_,1768,178
392,neylz,1768,329
393,Louxor-ya,1768,86
394,NeedO2,1768,127
395,SombreroTabasko,1767,473
396,*player5870346,1767,335
397,sjowtajm,1767,240
398,lukinho77777,1767,149
399,kek2157,1766,58
400,FireAlligator,1766,461
401,Falkenauge,1766,386
402,smollov,1766,41
403,HuttTheZerg,1765,192
404,ElMaggie,1765,403
405,lektrix,1765,265
406,BBlacklow,1765,1739
407,rexkow,1764,70
408,kingpopof,1764,617
409,ssbmPenance,1764,203
410,GreeningMars59,1764,394
411,Noobowski,1764,709
412,Ronnie 112,1763,211
413,Panda and Box,1763,303
414,kennethsai111,1763,94
415,sizium,1763,698
416,Hannibal,1762,943
417,HoyaBen,1762,338
418,Yuntac,1762,171
419,Paradoxial,1761,365
420,VIENTO,1761,456
421,NoOne1992,1761,390
422,v01d-0,1761,134
423,ScipioX,1760,385
424,Silent Samba,1760,174
425,It_is_I___Sidney_Feldman,1760,577
426,terralord,1759,144
427,vhorban,1759,198
428,Choles,1758,732
429,restirw,1758,177
430,95north,1757,496
431,inquisitor0684,1757,49
432,Phastos,1757,206
433,marsjozo,1757,1933
434,MartinTo,1757,368
435,Hafn,1756,163
436,nufc,1756,123
437,NachoPior,1756,65
438,RavensOP,1756,54
439,Freemen41,1756,214
440,Mars Inc,1755,558
441,Admiral_Robinson,1755,405
442,Seatsar,1754,122
443,chavdarbg,1754,357
444,Rosepetal,1754,388
445,Nugget1337,1754,74
446,Hiiiiiiii,1754,141
447,Vitormele,1754,124
448,Antistenes,1753,115
449,lusniakson,1753,461
450,Dahlstrom,1753,57
451,Rayton2,1753,74
452,thylacineghost,1753,389
453,Yachobleh604,1753,185
454,redred,1752,800
455,makriath,1752,399
456,Örbn,1752,380
457,t3cnic,1752,435
458,2rtan,1751,139
459,player6639259,1751,178
460,IckMan,1751,1201
461,Killsheeps,1751,598
462,akito3181,1751,1570
463,JustMartianThings,1751,424
464,Starscourge,1751,81
465,Sweet Tea,1750,111
466,tapestryy,1750,220
467,Menaka,1750,928
468,reikoku,1750,74
469,vizu,1750,623
470,OWENBOND007,1749,864
471,Rylai88,1749,210
472,fa_ibanez,1749,174
473,ember86,1749,329
474,Aeaeronn,1749,925
475,DL3228,1749,219
476,SunYork,1749,299
477,JohnBeton,1749,713
478,Yepp7,1748,121
479,nikonstan,1748,301
480,brandon12129,1748,204
481,korigs,1748,227
482,FeanorCurufinwe,1747,393
483,tedler,1747,32
484,Fendirovo,1747,894
485,UNMI Representative,1746,918
486,Wyczy,1746,1273
487,KALZ,1746,426
488,vilibur,1746,83
489,Charlie.,1746,70
490,DGice1,1746,573
491,Alexmedbr,1745,755
492,dancho_kz,1745,234
493,spazz,1745,234
494,migwaldo,1745,162
495,Dron2143,1745,363
496,readyplayer0ne,1744,365
497,MarsMonger,1744,959
498,ItsClonkey,1744,128
499,vaxouu,1744,294
500,puppy3636,1744,71
501,MrTomatoMan,1743,122
502,monya_carom,1743,955
503,knight_of_the_grail,1743,1411
504,Jovian_Boyy,1743,1006
505,ThomasTheTank007,1743,188
506,Long_man,1743,204
507,karyu_m,1743,174
508,lawny,1742,382
509,Makroo,1742,182
510,EzFlyer,1742,266
511,Duralin_A,1742,1223
512,KageLord,1742,66
513,marogl91,1741,80
514,watchmerunaway,1741,478
515,Dr_D,1741,127
516,MarsMan103,1741,617
517,Station Pesquet,1740,45
518,Zeuslibueb,1740,500
519,Tough Taboo,1740,328
520,Zeek4Wab,1740,604
521,dnam,1740,622
522,shumor,1740,352
523,digppa25,1740,270
524,PapaT,1740,440
525,ryan_75,1740,979
526,iceeed84,1739,362
527,Kadka.co,1739,44
528,fktni,1739,111
529,HartTanambell,1739,330
530,rafiel,1738,101
531,Werinen_Kirves,1738,99
532,wontpierzyk,1738,105
533,Anderchick,1738,517
534,Nupah,1738,218
535,chadulus,1738,960
536,snackytomy,1737,148
537,LittleGroot,1737,93
538,Lastchancexi,1737,67
539,Schemi,1737,305
540,luk1409,1737,185
541,el_cyd,1736,365
542,Honoredquasars,1736,205
543,Elendrin,1735,509
544,Dear-,1735,535
545,T2RideEU,1735,341
546,Seaniii,1734,1114
547,Anzel,1734,200
548,allenwfc1,1734,1443
549,dezz313,1734,391
550,Notagoodname,1734,616
551,Carnickel,1733,535
552,Wqh321,1733,547
553,Spiff747,1733,168
554,FlamingHomeR23,1732,668
555,Telvek,1732,239
556,BigOlestompem,1732,886
557,cooldsd,1732,127
558,quarkmarqu,1732,48
559,Bommittaja1,1732,199
560,Yalleeswalla,1731,73
561,muppe91,1731,241
562,DrPbTherapy,1731,441
563,lordx1000,1731,427
564,Raskaal,1731,477
565,zinro,1731,90
566,allemaal92,1731,151
567,Meuh38,1731,234
568,Cleonis2,1730,277
569,el3v3n,1730,609
570,MockingjayEvans,1730,283
571,sapkaspirez,1730,111
572,Khorgha,1730,330
573,Kripp,1730,990
574,Ausonio,1730,232
575,wlgnsstar,1730,146
576,BawriG,1729,58
577,STORMAMMA7,1729,319
578,yohkami,1729,59
579,Torgrim89,1729,204
580,benisonfire,1729,877
581,freebees,1729,357
582,iamtrung,1728,547
583,TacoJohnson,1728,190
584,*player7107387,1728,25
585,pokervegan,1728,1128
586,EmpireOfEvil,1727,132
587,Kaldrian,1727,518
588,Jonace77,1727,204
589,R3ddY,1727,260
590,Blitzerbobber,1727,205
591,Fyogly,1726,316
592,riskman64,1726,382
593,Striptease,1726,382
594,attackmode5,1725,501
595,CuttyFlam,1725,66
596,MarcinOLSZ,1725,271
597,Zimu,1724,216
598,NKVD,1724,163
599,MemorizeV,1724,541
600,PectoralisM,1724,194
601,keisuke1959,1724,259
602,Yuster,1724,511
603,Gramarye330,1723,264
604,LLCOOLJanis,1723,181
605,chinstrap89,1723,145
606,Marci89,1723,100
607,Employee 427,1723,288
608,optimist,1723,374
609,tutur2007,1723,398
610,Djam,1723,492
611,tarachampo,1723,122
612,zeplost,1722,434
613,kerog,1722,496
614,vince973,1722,374
615,Erthryx,1722,101
616,Awesome Aggie,1722,782
617,Giriguy,1722,417
618,Vision_Collector,1722,377
619,bobisgreat168,1722,674
620,Satkos94,1722,389
621,KOMMEPCAHT,1721,718
622,sf1985,1721,250
623,Lucas_Z,1721,387
624,AnCaJa,1721,235
625,Shira_In_Box,1720,246
626,Typical UMNI Player,1720,126
627,m0e2910,1720,756
628,Chessmastah,1720,233
629,thecashrage,1720,412
630,SickySoka,1720,539
631,juzo,1720,316
632,Richardlim,1720,82
633,Tomtetometot,1720,639
634,Mitnichar,1719,55
635,PaDDy_,1719,477
636,redness87,1719,369
637,Jason_ho2,1719,405
638,Tappani,1719,53
639,atosss90,1719,290
640,kokosogreek,1719,420
641,Joegold12,1718,760
642,DAPokh,1718,860
643,chungmuro,1718,120
644,handgemacht,1718,1228
645,Just0law,1717,110
646,Yarkin,1716,128
647,AlwaysJovian,1716,293
648,Egander,1716,200
649,BBGKY_Heirarchy,1716,35
650,Rymdjocke,1716,165
651,cantinflas,1716,841
652,Jgala,1715,335
653,Sachti,1715,296
654,Mischalina,1715,828
655,HairyPotter7,1714,342
656,Princeroux,1713,165
657,nganaaron,1713,154
658,JCrossMFB,1713,1796
659,rerrelol,1713,218
660,SquampkinPapa,1713,469
661,jivkoDinev,1712,208
662,boroburn,1712,1076
663,Joscho,1711,405
664,Rutto,1711,162
665,Nurse Michael,1711,133
666,Raq82,1711,291
667,Burghler,1711,403
668,gugoguma,1710,575
669,ambulant-thespian-mechanic,1710,132
670,NevadaVinz,1710,127
671,Simon B,1710,86
672,_Moky_,1710,297
673,HaraoH,1710,111
674,wojt667v2,1710,275
675,Zintara,1710,167
676,Sevaldsen,1709,144
677,ScratchesTheBear,1709,264
678,mike821,1709,1382
679,ywvv,1709,357
680,BringerOfDonuts,1709,438
681,zlemr5555,1709,320
682,Bellenefrond18,1709,110
683,OTOSAB,1709,1810
684,FlyKiller06,1708,302
685,BreadEnthusiast,1708,34
686,jkomis,1708,861
687,the Tangerine Knight,1708,276
688,bob_binette,1707,476
689,damian1301,1707,399
690,OrlandIX,1707,137
691,joonginsen,1707,41
692,invisible4ever,1707,59
693,peddy_,1707,53
694,Sopli,1707,883
695,jkirsche,1707,56
696,MaitreJinx,1707,91
697,codant,1706,1565
698,ECF_Handygamer,1706,65
699,Slokda,1706,56
700,CaptainTSR,1706,585
701,8888ninja,1706,2578
702,Banderra,1706,80
703,yaqasdf,1706,401
704,Entimatrix,1706,237
705,Laskas,1706,148
706,ytuazirafel,1706,240
707,WazzaMcVee,1705,335
708,mistakeNot1,1705,403
709,pocketjoso,1705,90
710,PancakeU,1705,30
711,Exsanguinate,1705,87
712,couyatrux,1704,155
713,Syros86,1704,268
714,CLEMSTERDEATH,1704,790
715,ong2,1704,229
716,Viza,1704,223
717,whsoos,1704,71
718,Stingray_Bell,1704,423
719,Lutaris,1704,316
720,LuckDependent,1703,331
721,bb-happy,1703,126
722,Lucretos,1703,217
723,Nobunnaga,1703,299
724,Cold Comfort,1703,366
725,giasa,1703,1342
726,Majesty Keryz,1702,341
727,Larsjoachim,1702,164
728,robertviding,1702,1237
729,MS242,1702,272
730,DrManhatten2.0,1702,454
731,Sutit,1701,524
732,amullek,1701,290
733,Foxy Fill,1701,79
734,absolute_,1701,453
735,marz123,1701,174
736,UHaveOneShot,1701,570
737,Roentgen Warrior,1701,189
738,Maxbot10,1700,338
739,player77002,1700,1042
740,syd1204,1700,172
741,Rydzik,1700,180
742,3p1c9uy,1700,218
743,zephyr9010,1699,60
744,Cuddling Sheep,1699,142
745,e834,1699,198
746,Fingerboy,1699,1062
747,radioatomic,1698,1171
748,DasFrosty,1698,316
749,Zeljkoo,1697,603
750,qiyana,1697,23
751,ts1ri,1697,118
752,p0landus,1697,58
753,Stecher,1697,80
754,Asura_,1697,135
755,Babce,1697,272
756,louislybra,1696,539
757,LPommes,1696,1481
758,Llola2136288,1696,225
759,Vader_one,1696,185
760,LLADALL,1696,983
761,mettevbadenski,1696,452
762,ElJeffo17,1696,263
763,himars - khto yak ne ty spalyt mosty,1696,257
764,agentshowers,1695,91
765,JuhaXer,1695,82
766,Sebl,1695,219
767,Leumas1990,1695,417
768,21problems,1695,175
769,Aecelot,1695,126
770,WanderinTrip,1695,77
771,Quidsworth,1695,75
772,sumsar89,1695,53
773,Holtens Helte,1695,90
774,CsylvainC,1695,63
775,edgerly,1694,311
776,Danvey,1694,445
777,iJMo,1694,127
778,player3356556,1694,96
779,peppaborga,1694,459
780,hulakula162,1694,71
781,Jossaulin,1694,149
782,randomname11,1694,304
783,Mars Attack,1694,181
784,sahenembec,1693,154
785,Uffe815,1693,608
786,Rob5050,1693,165
787,drmrow,1693,35
788,Darkenon,1693,286
789,The JJ,1693,768
790,alphapiy,1693,379
791,Hermeshlh,1692,121
792,jakeeh,1692,68
793,hromplus,1692,362
794,baddgger,1691,556
795,Codilon,1691,682
796,gm14fr,1691,247
797,Agnes_on_mars,1691,659
798,moichel,1691,234
799,LeviLlama,1691,22
800,Tasos Peppas,1690,120
801,wildweasel94,1690,257
802,mikivejev,1690,329
803,KrustyKrabPizza,1690,123
804,Sleuth,1690,43
805,klinsy73,1690,939
806,dospistolas82,1690,293
807,jsoomal86,1690,331
808,luxor01,1690,272
809,KarkkoMantysuopa,1690,293
810,bjornl777,1690,221
811,Spandex Tony,1689,38
812,plegler,1689,175
813,Cobramys,1689,291
814,Galapow,1688,872
815,oliv1196,1688,60
816,reul_83,1688,224
817,schneeklozar,1688,61
818,CereusNate,1688,77
819,ollie09,1688,136
820,vatsalybhatt,1688,264
821,Viclan,1688,370
822,Boretomcat,1688,133
823,Rattlesnake,1688,215
824,EnjoyInJoy,1688,124
825,Annika_K,1688,271
826,youraunt,1687,721
827,TimeToPwn,1687,249
828,Kreker2233,1687,84
829,cuberner,1687,702
830,SorryDave,1686,156
831,Belu,1686,456
832,Love to Resign,1686,22
833,Spiro,1686,57
834,JoeTheGreat,1686,385
835,gipsas17,1686,986
836,*player7099558,1686,23
837,istdochwurst,1686,722
838,nym76,1685,1456
839,Moorleiche,1685,70
840,musicforlife121,1685,157
841,shunya11,1685,91
842,Koskiukko41,1685,192
843,Schrodinger,1685,95
844,Routebreaker,1685,124
845,Strandino,1685,583
846,Ludorama,1685,294
847,AlexandraPr,1685,400
848,Fiink,1685,560
849,SoaresPeixoto,1685,53
850,Ivanhavebanan,1685,1292
851,Hasildur,1685,121
852,Archangel of Justice,1684,211
853,Zaiber,1684,261
854,Xiah,1684,849
855,Stephstealth,1684,1507
856,Meddling Mage,1684,276
857,player6911181,1684,166
858,JRMaxwell,1684,128
859,Boss_Of_Your_Gym,1684,68
860,Snorri81,1684,551
861,kkpkpkp,1684,109
862,Mr Mars,1684,1263
863,spb-vlan,1683,137
864,Marsterplan,1683,75
865,RobertPerryisTrash,1683,310
866,manatee_extinction_advocate,1683,162
867,Vveneto,1683,170
868,Zielu,1683,80
869,gergosz,1683,348
870,Katharos,1683,1155
871,Geri,1683,452
872,Skyw4lk3r,1683,34
873,NewGuy2,1683,34
874,BananaMon1,1683,55
875,barnard341,1683,107
876,AKR1987,1683,589
877,Morgiliath,1683,1504
878,CyberSeeker,1683,1367
879,curtiber,1682,226
880,Gamstrik,1682,128
881,Braulmach,1682,154
882,apieceofcake,1682,192
883,TheyCallMeMissDuck,1682,169
884,natutele,1682,66
885,denes_bozso,1682,321
886,rararara,1681,160
887,UngePengen,1681,123
888,GlansOfGloff,1681,181
889,dm1-,1681,316
890,Parasang,1681,584
891,jetetue,1681,1214
892,Qnutar,1681,330
893,Zwelchx,1681,38
894,Fatfreddy,1681,113
895,Chris1George,1680,578
896,torakichi,1680,169
897,OxMars,1680,769
898,GJA777,1680,32
899,Vlad2002,1680,155
900,rainbowplatypus,1680,60
901,Philipleonette,1679,135
902,Ralphacus,1679,140
903,jewartom,1679,667
904,Inside Scoop,1679,126
905,didipote,1679,197
906,0815roy,1679,319
907,Gswagner,1679,90
908,R-Cane,1679,367
909,urkeurke,1678,352
910,onul,1678,198
911,Joe_Bloe101,1678,104
912,Dysik,1678,148
913,ratmout,1678,87
914,dcteddie,1678,85
915,Micholov77,1678,2324
916,bhtsui,1677,165
917,Belial,1677,37
918,1szakal95,1677,114
919,Cyronium,1677,1225
920,AnCaTadaaa,1677,67
921,JoMarti,1677,442
922,Sav8ge,1677,481
923,wolfcon087,1677,112
924,Obihobit,1677,837
925,Lateralus1,1677,64
926,sorentrads,1677,1811
927,KKswizzle,1676,145
928,Walcho,1676,314
929,Hatori-Hanzo,1676,427
930,Insan00b,1676,184
931,seba_bil,1676,1184
932,tbelbos,1676,136
933,TerraformTyr,1676,54
934,LauriLin,1675,82
935,Grecorivera941,1675,1680
936,ThePottedPlant11,1675,159
937,XLeoXXX,1675,124
938,SBDaGOODness,1675,457
939,flanimal,1675,83
940,lukas_,1675,25
941,Caerulus,1675,85
942,Ngserene,1674,550
943,treker,1674,141
944,Fireslasher,1674,89
945,Jesuruffer,1674,220
946,Erencrl,1674,811
947,The Allfather,1674,38
948,Harley20,1674,252
949,2Girls1Podrick,1674,117
950,labbiel,1674,155
951,quayu,1674,77
952,antidotcb,1673,1643
953,LexaCroft,1673,339
954,sookol,1673,379
955,ph33nix,1673,250
956,RafaRmz,1673,571
957,leeelim,1673,846
958,iamkhufu,1673,56
959,VinDinev,1672,67
960,ScroogeMcBrick,1672,348
961,twoes6500,1672,167
962,cuatroformacci,1672,155
963,JumboFoxtrot,1672,186
964,Offan18,1672,51
965,huitolai,1672,1161
966,Kiljaeden,1672,265
967,thewolfbrothers,1672,190
968,Jon_Valley,1671,350
969,monkins,1671,134
970,SafariHat,1671,496
971,leoblack44,1671,105
972,RunsOnCoffee,1671,431
973,TerraRubrum,1671,187
974,phen1x,1671,183
975,biyik,1671,246
976,Hakar,1671,306
977,jmway08,1671,70
978,Pherkadia,1671,215
979,SimonBra01,1671,440
980,joel15cat,1671,355
981,vezoma13137,1671,795
982,-Pixel-,1671,325
983,Nihilm,1671,59
984,chauss007,1671,1040
985,dftleonidas,1670,374
986,Moose14,1670,91
987,supadave2k1,1670,499
988,mistermuchacho,1670,101
989,MastaGoat,1670,28
990,kepler-22b,1670,76
991,herius93,1670,378
992,Mmu_33,1669,1032
993,Fight_CluB,1669,342
994,Rustix663,1669,489
995,plus2ak,1669,270
996,mackanjing,1669,183
997,Lazer16,1669,79
998,cccff9,1669,115
999,Ur Mom,1669,399
1000,rafaeltrapp,1669,101
1001,BallzyFonky,1669,62
1002,E4zzy,1669,108
1003,Dimson1,1668,838
1004,Dustnas,1668,188
1005,Hildebrandt,1668,598
1006,john.garrett317,1668,99
1007,aLEALEA,1668,208
1008,Tia a,1668,160
1009,Scintillo,1668,85
1010,Kawarg,1668,24
1011,totom2012,1668,356
1012,slimk,1668,289
1013,Guic23,1667,338
1014,flora momo,1667,415
1015,Norbi_The_Beaver,1667,51
1016,gon02131,1667,132
1017,BossBarboss,1667,84
1018,Morrizio,1667,73
1019,Ic3Ros3,1667,192
1020,Pitlord26,1667,136
1021,Bossss,1666,309
1022,Freiik,1666,93
1023,c0c0nutdaddy,1666,667
1024,IARANATOR,1666,118
1025,Ghyran,1666,144
1026,mikko.heikela,1666,64
