Rank,Player,Score,Games Played
1,h0dge2p0dge,2151,230
2,andorite,2132,111
3,anthracite,2119,170
4,bjarnimari,2117,1059
5,Mały Farciarz,2091,1032
6,tomohironunu,2088,1058
7,Paju_,2087,417
8,jukut,2074,1168
9,snikendeteppe,2072,399
10,valeDictorian,2072,128
11,andalusite,2062,94
12,SomeGlitch,2062,384
13,EnzymCatalyst,2059,641
14,Ghaleon,2059,1309
15,HighlanderKG,2055,1141
16,RonaldMexico,2052,163
17,TAMPNGFABRIKEN,2052,166
18,start,2049,114
19,Dave_ad_hoc,2040,574
20,h0dge3p0dge,2037,83
21,podge2hodge,2036,152
22,enoon,2025,179
23,Jojo_88,2023,526
24,Bennyake,2021,58
25,Finnsane,2021,755
26,plsstopspammingcities,2020,59
27,LivingAnarchy,2020,250
28,davidskywalker,2013,580
29,Kulikk,2009,281
30,hughieg1230,2001,948
31,Oystercatcher,2001,149
32,*player6994078,1996,172
33,splitalterego,1995,342
34,solmyrs_lightning,1992,718
35,ThothTheRaven,1988,141
36,markov90,1988,829
37,Dialectic,1983,216
38,Wawrzyniec [PS],1982,154
39,*player7086656,1980,74
40,REV.STARSCREAM,1980,521
41,Eyjafja11ajoku11,1975,1107
42,player1585795,1974,65
43,gyozu,1970,241
44,Tipi13,1970,1409
45,bartek89,1970,570
46,miketurch,1965,305
47,I'm Tiesha,1965,88
48,GoodLuuking,1965,1079
49,PhilRuffin,1963,538
50,youwind,1962,224
51,adysk,1962,302
52,lisiacz,1962,593
53,w_buko,1960,141
54,Me0www,1959,978
55,Bl0wYouAway,1958,380
56,Currix,1957,408
57,jussius,1957,99
58,Alphicans,1955,862
59,kemu_kemu3,1955,1047
60,Figil,1955,820
61,Just lucky,1953,59
62,chexarito,1953,428
63,kaiserschmarrn,1953,221
64,YouShouldTrain,1948,656
65,kvntrng168,1943,999
66,LuisXIV,1941,1065
67,TigBitties,1940,78
68,pastyboy,1939,222
69,AD1NHO,1939,109
70,Random Ronny,1938,73
71,chardie,1937,515
72,Bunnu,1932,1661
73,AwesomeAxolotl,1932,655
74,TomsuxatAoE,1932,556
75,Pokeee,1928,480
76,Nojiebear,1925,1204
77,Dead_Bone,1925,353
78,Rasmus_DK,1925,219
79,darkmoon25,1925,1544
80,Rednay,1924,540
81,Psyr3,1924,233
82,GenuineGold,1923,823
83,ChopyChop,1922,1472
84,houmeu,1922,934
85,TerraformingYourMum,1922,198
86,deantheatre,1922,527
87,Der_Maister,1919,259
88,KaIIutaHKyctoB,1916,127
89,eksteroog,1916,1591
90,Valibo,1915,451
91,NilesCrane,1913,631
92,Hachex,1911,546
93,3markov90,1911,72
94,Pimmie38,1907,515
95,Elon Brusk,1906,99
96,jwatters,1906,164
97,jpatche,1904,833
98,Meept,1904,64
99,jonnyalmost,1903,184
100,Kosmoski,1903,693
101,iWontLetSusanGoDownOnMe,1902,220
102,Venuphile,1902,133
103,Broman,1901,435
104,stella-,1901,469
105,Fin.K.L,1900,76
106,MisterBarca,1900,278
107,EmilH,1898,777
108,Kymlicka,1898,318
109,aimthis,1898,766
110,GoBirds,1896,565
111,Damian_Kalinowski,1895,304
112,SEUNGJAE,1893,288
113,gammagurke,1893,111
114,levas,1893,1302
115,player5543658,1893,238
116,DVD91,1892,342
117,sangoku,1892,649
118,HoosierSmurf,1890,176
119,Belemil,1890,1433
120,MrHulk,1887,575
121,kepsu,1887,554
122,pepealas,1886,409
123,mifciu,1886,274
124,tjreid1,1885,2105
125,LoloNoob,1884,371
126,chocchip37,1884,192
127,jedihan,1883,1787
128,ivanutama,1883,1054
129,stewchen,1882,479
130,Underdog4,1880,518
131,djParker,1880,690
132,agent_snolders,1878,408
133,-Lumiukkox-,1878,76
134,Mars University,1878,85
135,Kilgallen,1878,392
136,Marsohod2000,1878,188
137,Feri98,1877,687
138,lightninglord,1877,1469
139,molybalaise,1877,1573
140,Vlcak Profi,1875,448
141,Nnniii,1875,123
142,r187,1872,1149
143,AlexGerasim8,1871,363
144,Marsmanjos,1870,1731
145,alburrito,1869,283
146,Pike37,1868,129
147,mitch30,1866,107
148,maurooon,1866,124
149,Pedes53,1866,539
150,jose3653,1864,965
151,johnnysunshine42,1864,1045
152,JIBIB,1862,764
153,lavacalola,1862,317
154,General Ketzer,1861,113
155,Jacob Cream,1861,77
156,sSbilf,1861,89
157,imperialstout,1859,308
158,m3i_,1859,1740
159,peaceG,1858,983
160,smackers,1857,95
161,sadarchie,1856,510
162,Siegfried1337,1855,401
163,lautrehamon,1854,534
164,teamsquish,1854,309
165,Halt,1853,395
166,Suldren,1852,1552
167,slumerville,1852,228
168,BrancoN,1851,150
169,Koencr,1850,67
170,Chaboot,1850,180
171,SzyBek45,1849,593
172,calaquendi42,1849,251
173,revun,1849,169
174,LowlanderGK,1849,33
175,Rizky,1849,245
176,amazian511,1848,781
177,GAYADAM,1848,605
178,keenankj,1848,374
179,Kattt,1847,167
180,spade333,1845,412
181,jelleL,1844,201
182,ciscovic,1844,96
183,saucyasian,1844,310
184,zivct,1843,427
185,Chirtash,1843,637
186,Blubito,1842,829
187,ShinGoo,1842,72
188,kin9,1842,275
189,Misophist,1841,141
190,authoriton,1840,583
191,flaxen,1840,256
192,WildWushu,1840,369
193,WenYu0007,1840,167
