Rank,Player,Score,Games Played
5450,darabia118,1379,28
5451,Rachul,1379,55
5452,UVBAYOO,1379,28
5453,Marlenewessel11,1378,107
5454,cristymisty,1378,206
5455,Toma021,1378,53
5456,vierk4nt,1378,25
5457,tind86,1378,24
5458,Stephanie04,1377,362
5459,Wynter2020,1377,208
5460,anomaly9685,1377,168
5461,StefOfDk,1377,35
5462,marivitato,1377,1226
5463,balp1,1377,316
5464,Tarraco mars,1377,246
5465,drjoe18,1377,135
5466,Terraforming Bruno Mars,1377,22
5467,player5194191,1377,24
5468,Nachebernburg,1377,34
5469,Newfigirl,1377,477
5470,alexandre23242,1376,89
5471,RecycledUsername,1376,32
5472,jfluque,1376,87
5473,fezfez,1376,46
5474,Kaywinnett,1376,162
5475,majasev,1376,51
5476,Graziewinnis,1376,361
5477,alienVegitable,1375,350
5478,Damian645,1375,36
5479,Sanabria,1375,36
5480,Charifred,1375,55
5481,charlottebeaudoinpel,1375,22
5482,maldekapp,1375,968
5483,Radost_bitija,1375,39
5484,hobso4890,1375,37
5485,SyntheticDawn,1374,26
5486,Anitapotato92,1374,116
5487,SADUSTEN,1374,53
5488,metalgallardo,1374,22
5489,catalina976,1374,138
5490,FLO77,1374,47
5491,friccska,1374,65
5492,agabro,1373,372
5493,dyd666,1373,112
5494,Denito78,1373,23
5495,Ellyheart,1373,47
5496,EliTheBarrowBoy,1373,39
5497,seyit,1373,40
5498,DenytheDay,1373,65
5499,Maukupallo,1373,39
5500,SrBarnyard,1373,52
5501,GoriChryss21,1373,24
5502,kristinaelizabeth,1373,21
5503,Sabbelbine,1373,30
5504,Vitalija,1372,128
5505,MetteH,1372,38
5506,max87,1372,54
5507,Dijitz,1372,121
5508,Indyjarl,1371,172
5509,janilifts,1371,104
5510,RogerCasla,1371,67
5511,DMAyxe,1371,142
5512,cdsoldev,1371,44
5513,Selene66,1371,27
5514,Stellar Ironworks,1370,38
5515,verrine,1370,86
5516,Wise Magic,1370,40
5517,WmWm99,1370,256
5518,Inlands,1370,54
5519,Bruja,1370,37
5520,gunsbabeslemonade,1370,291
5521,Clerical Cleric,1370,27
5522,viva_kaj_fiera,1370,134
5523,tompalec,1370,81
5524,m_geris,1370,232
5525,Whirlwind2971,1369,59
5526,toutfuite,1369,136
5527,Lau22,1368,79
5528,dertus,1368,228
5529,MastaLuc,1368,59
5530,gamerr,1367,33
5531,kolio132,1367,115
5532,Wolfalia,1367,26
5533,PPage,1367,145
5534,AMM338,1367,31
5535,alexfam,1367,54
5536,kariness,1366,56
5537,Ullisse,1366,30
5538,Nyntabie,1366,253
5539,akrish90,1366,39
5540,dadawiz,1366,68
5541,tefooo123,1366,28
5542,Xav from Midgard,1366,47
5543,Noristeit,1366,49
5544,Jolieblonde,1365,51
5545,whiteliger,1365,83
5546,Rakquu,1364,308
5547,MarieEline,1364,115
5548,BARLOY1,1364,82
5549,esiul13,1364,114
5550,flyingfranke,1363,54
5551,javibal,1363,53
5552,crisnog,1363,51
5553,Zytna,1363,145
5554,Eiloan,1363,91
5555,Thisissimon,1362,210
5556,truemakar,1362,31
5557,flavio.dupim,1362,166
5558,Dveolp,1362,22
5559,Konsen,1362,43
5560,merote,1361,22
5561,hannahcello,1361,78
5562,QNora,1360,68
5563,k4per,1360,35
5564,tree nut,1360,85
5565,TheCatLadyOfFloof,1360,23
5566,Lore0404,1360,155
5567,Cazgrode,1360,285
5568,MatthewHolmes,1360,193
5569,Avramparis,1359,42
5570,Torminatorek,1359,54
5571,anoothkr,1358,301
5572,Lhrubin1,1358,161
5573,j1n1gekko,1358,825
5574,BigSalsBigBro,1358,96
5575,The Hive,1358,65
5576,Mipste,1357,20
5577,Allenw80,1357,43
5578,Raven Menwin,1357,91
5579,*player7151268,1357,45
5580,chwerschlan,1357,31
5581,tintin0732,1357,73
5582,kaifu,1357,39
5583,almazka,1357,316
5584,arkasuk,1356,48
5585,gryffllsplyff,1356,86
5586,sukitsunami,1355,180
5587,jluengov80,1355,190
5588,denao,1355,53
5589,Sushiboiforboi,1355,120
5590,fluffypants,1355,66
5591,bennylava2020,1355,60
5592,Norwgia Nova,1354,593
5593,mayuraj77,1354,86
5594,Auvikki,1353,39
5595,Velhote,1353,102
5596,Plumaya,1353,194
5597,lumiii,1353,43
5598,ejseltzer,1353,197
5599,player3290500,1353,186
5600,bobrulez1,1353,319
5601,noeminka,1352,119
5602,bokkenrijder,1352,35
5603,Luzminda,1352,222
5604,Dr_Csokis,1352,172
5605,Exaltofulgor,1351,121
5606,Leonarditus,1351,237
5607,Vanguy22,1351,281
5608,JOSEMAKAI3,1351,95
5609,LadyM51,1351,51
5610,brarian,1351,68
5611,Bucolique,1350,500
5612,Muerte_DE,1350,29
5613,Tarbar,1350,127
5614,Tireur2Litres,1350,27
5615,laylalayla5,1350,61
5616,pliom,1350,176
5617,rayhemphill,1349,496
5618,mountcool,1349,33
5619,entrari,1348,89
5620,Elfica89,1348,210
5621,Xystus777,1348,55
5622,Zeleyane,1348,122
5623,tetiana0102,1348,31
5624,ceeries,1348,75
5625,beetlover,1347,141
5626,DashFlashCrash,1347,28
5627,Mufurc73,1347,159
5628,NJPolkaDot,1347,61
5629,Erdschnuckel,1347,29
5630,fox-emtp,1347,487
5631,Loser1111,1347,89
5632,Camsycam,1347,121
5633,fguids,1347,27
5634,Galecki,1346,136
5635,skunkybeer2000,1345,58
5636,mallee,1345,32
5637,Wanhedaa,1345,83
5638,Drachenfrucht,1344,151
5639,ligh7foo7,1344,106
5640,POWER GAGOR,1344,65
5641,Xena Kuma,1344,90
5642,hammerkopt,1344,438
5643,Marcos32,1344,58
5644,kingkrid,1344,50
5645,BineDi,1344,71
5646,rinu100,1344,98
5647,doedaisy,1343,60
5648,BjoPie,1343,261
5649,dexterellum,1343,89
5650,Léléderieux,1342,24
5651,YogaPranaZen,1342,128
5652,jennbergeron,1342,128
5653,Martian Peanuts,1342,34
5654,Quello_Alto,1342,46
5655,Daywalker_2601,1342,107
5656,ONECHANTARO,1342,58
5657,EugeneS,1341,35
5658,Hausfrau,1340,820
5659,zanekin1967,1340,272
5660,Pixburgh85,1340,70
5661,nikyeyrn,1340,44
5662,Mica1988,1339,36
5663,katie080,1338,120
5664,rojo22,1338,101
5665,STRELLPRO,1338,81
5666,Schokolade,1337,140
5667,kyros42,1337,796
5668,Zekaelathos,1337,68
5669,wadainker,1337,237
5670,Ehugym,1337,36
5671,hotwanimayu35,1336,43
5672,ZACHERBUG,1336,297
5673,WRLDBLDR,1336,53
5674,Gueddy,1336,151
5675,Popsrig,1335,1069
5676,Stachelrochen,1335,52
5677,danielsun,1335,36
5678,bon_bon,1335,123
5679,Draymar,1334,215
5680,Electrolight,1334,30
5681,Foutchie,1334,155
5682,belettevirile,1334,146
5683,Divingcat82,1333,161
5684,VITUTURK,1332,564
5685,modderone87,1332,34
5686,Redbuggoose,1332,290
5687,King-Dingeling,1332,34
5688,Bowdith,1331,30
5689,Alban Skalk,1331,762
5690,LionHeart_2174,1331,107
5691,Faramud,1330,174
5692,Arely-Elias,1330,254
5693,MoonEclipse,1330,127
5694,stu116,1329,53
5695,srhutson,1329,91
5696,franklindevries2,1329,29
5697,Tete80,1329,314
5698,Informeddissent,1329,81
5699,Grisu3931,1328,230
5700,JohnB2035,1327,20
5701,Darkzoulette,1327,96
5702,Djinni,1327,60
5703,Girlzgametoo,1326,435
5704,pankracy1235,1326,75
5705,Zmrzak,1326,26
5706,tomcruise1985,1325,306
5707,toriko197,1324,151
5708,copiesme,1324,193
5709,sportea17,1324,52
5710,kaitlynlc29,1323,459
5711,btlane330,1323,270
5712,Annet666,1323,52
5713,Akimbowles,1322,249
5714,kwmson99,1322,60
5715,manuke,1322,142
5716,Yellow_balloons,1321,26
5717,nlcollicott,1321,118
5718,Dangermouse82,1320,488
5719,Arizda,1320,191
5720,alexmac9,1320,57
5721,ZeroCitys,1320,43
5722,migima,1318,66
5723,ZeroCypherX,1318,32
5724,DiesDas,1318,199
5725,Dews_bri,1317,69
5726,Kriss07,1317,37
5727,Safiye_89,1316,131
5728,Robspars,1316,606
5729,emseger,1315,34
5730,Senryu_91,1315,29
5731,Fleurdecoeur,1313,43
5732,Hyesja,1312,527
5733,OVRLRD7n,1311,976
5734,bakingbad,1310,105
5735,anabadia,1309,77
5736,Czechitout,1309,218
5737,ekvt3,1309,37
5738,Nikklynn,1309,43
5739,Pew 47,1308,52
5740,Kataza,1306,156
5741,ANGELL,1305,2486
5742,lordmad44HUN,1304,100
5743,crispx,1303,41
5744,fumbkefingler,1302,68
5745,Cmccown,1302,62
5746,ukiyo,1301,21
5747,Maev,1298,52
5748,mimigarg,1295,105
5749,Yannou45800,1295,74
5750,cathyiscool,1294,35
5751,MeepleMinion,1288,56
5752,Lostara Yil,1288,211
5753,achessnut2,1285,107
5754,Breezy452,1284,125
5755,Mrs Fisch,1282,616
5756,julesternchen84,1280,117
5757,Codorra,1279,63
5758,Algolik,1277,192
5759,westgoad,1275,72
5760,annamaki,1274,63
5761,JeanKot,1256,105
5762,Broem,1255,91
5763,ArrowIIDynamic,1247,55
5764,Franklin G D,1236,154
5765,Sanymae,1224,172
5766,mangler50,1223,287
5767,MinervaQ,1222,80
5768,aotobus,1154,332
